word,count
x,381673001
higher,381547572
stock,381149565
six,380908210
past,380735047
itself,379403675
increased,379353698
reason,379208558
insurance,376547665
already,375773964
million,375736617
issue,375446541
greater,374951809
natural,374676142
enough,374494875
operation,374378240
plant,372502821
months,372064140
specific,371623308
able,371254722
annual,370182953
design,369353178
costs,369265320
according,368781399
gas,368412878
defendant,368338096
addition,366520133
practice,366457216
central,366261709
standard,365782251
organization,365594082
page,365282391
self,364811384
personal,364769705
training,364545544
face,364340592
division,363284751
additional,361964319
model,361478028
hours,360879533
asked,360407378
meeting,360057214
series,359697105
effects,359093417
kind,358784328
mind,356753049
rates,355775250
laws,355238839
ground,354857015
science,354608907
activities,354367357
size,354331575
working,353038658
believe,351863439
father,351773993
generally,350884507
nor,350691200
complete,350485195
growth,350358883
knowledge,350116624
love,349559666
employees,348721364
usually,348420812
described,348161847
art,348116469
materials,347928776
reported,347423857
themselves,347327493
related,346947492
call,346880291
population,345045061
established,344732617
toward,344018455
below,342998004
english,342818352
brought,342805877
quality,342671979
range,342236844
parts,341948578
capital,341658755
space,340987667
effective,340755429
groups,340423364
proposed,339256530
especially,339070876
methods,338890692
military,338524457
schools,337757883
chairman,337683466
language,337398914
east,337197872
agency,337125065
agreement,335757508
requirements,335302339
condition,334772213
word,334180551
return,334137143
told,333562281
security,332140573
obtained,331571524
became,330430257
thing,329796097
pressure,329777950
perhaps,328890003
keep,328315549
night,328224175
decision,327765820
director,325422396
fire,325181675
rules,324421538
code,324293271
lines,323955560
loss,323589015
non,323440226
direct,323098962
miles,322644676
respect,322068201
follows,320767053
probably,319926733
letter,319698650
written,318974278
clear,318873086
mean,318627378
source,318595921
library,318022459
purposes,316865553
structure,316458676
got,315901541
notice,315719140
mother,315650967
provisions,315231478
council,314909735
close,313766169
temperature,313056392
whom,312938897
hundred,312914989
works,312309672
says,312003965
performance,311591618
judgment,310576626
funds,309876955
resources,309462488
function,307947846
books,307406002
sense,307351178
included,307006119
reports,306959053
quite,306133406
financial,306082489
distribution,305553571
ed,304623833
james,304553531
unit,304510098
eyes,304495140
needs,303729239
yes,302056983
activity,301976308
road,301190964
chief,300646396
heart,299723602
final,299486168
today,299377532
seems,299294782
countries,298528339
opinion,298246165
volume,298019822
presented,297948008
original,297853857
points,297781329
senate,297682070
developed,297177317
attention,297126350
century,296445070
published,296402727
physical,295927546
theory,295491998
employment,295321948
army,294996938
tell,294968497
sales,293927507
motion,293823578
main,293347205
soon,293157306
town,292773947
workers,292754205
questions,292326901
article,292322849
added,291527823
operations,291417284
values,290784283
blood,290463304
twenty,290307547
began,290118569
supply,289780504
limited,289369161
prior,287844491
determined,287386180
living,287042958
woman,286948761
civil,285971979
journal,285775475
trial,285507043
answer,284709132
shows,284445336
gave,284443945
product,283886244
manner,283692493
disease,283190939
industrial,282910549
normal,282619469
red,282172131
charge,282074847
king,281657914
week,280951143
ten,280909352
fund,280506427
list,280033742
character,279786628
saw,279674615
officers,279657392
really,279594650
forms,278634288
legal,278450226
fig,278162358
sometimes,277657522
length,277620361
makes,277408032
needed,277178430
patients,277121319
staff,276819154
situation,276021784
senator,275195056
strong,275128246
job,275007537
month,274902426
applied,274144672
sale,273499387
placed,273272864
plaintiff,272513569
meet,272308756
involved,272164024
passed,271448454
unless,271177591
degree,270896974
companies,270885093
august,269624821
species,269098934
proper,268786407
late,268665462
claim,268001960
trust,267819118
issues,267488634
hands,267423872
outside,267102237
taking,266966808
base,266318993
top,266160656
san,265928696
payment,264672912
produced,264230918
solution,264066488
story,263800269
western,263701731
beginning,263459402
credit,263422364
across,263039352
french,262455491
response,262088637
hard,261642774
region,261544361
provides,261280967
recent,260172239
reference,259852237
officer,259324826
filed,259242412
equal,259230711
parties,259053376
patient,258893778
knew,258717863
sent,258551133
records,258441980
claims,258436677
feel,258420875
significant,258137772
reading,258000686
entire,257896679
determine,257860522
run,257353127
extent,257250976
sec,256562987
appropriate,255424453
approach,255246706
protection,254875609
turn,254789535
factors,254568309
duty,254334474
felt,253667003
role,253503471
technology,253334323
son,253315985
carried,253229144
doing,253162762
sir,252946511
address,252473816
cut,252390479
appear,252359501
safety,251937521
commercial,251786701
vol,251261669
wife,251088028
influence,250989350
weight,250608533
bureau,250493806
associated,250092198
hospital,249951966
relations,249626513
sure,249447988
anything,249100199
operating,248846765
longer,248811463
types,248793586
defense,248725377
particularly,248692446
basic,248669044
front,248604719
transportation,248433632
facilities,247942948
flow,247568316
movement,246625927
former,246623484
box,246492053
modern,245354982
looked,245307552
judge,245213564
standards,245194333
nearly,244988437
conference,244076483
stated,244057169
leave,243897638
station,243889256
finally,243740673
consideration,243548437
cells,243391645
difficult,243160783
planning,243031712
cross,242995851
idea,242974970
levels,242951814
potential,242426967
require,241873869
heard,241450580
technical,241368564
issued,241273276
direction,241139485
expected,240963265
justice,240729417
beyond,240726829
simple,240387861
fine,240106827
sea,239825048
lead,239550426
likely,239462977
estate,239385030
post,239366516
plants,238609305
live,238598858
notes,238475742
middle,238376828
author,238160248
instead,237594199
steel,237386385
alone,237280935
hold,237280149
lost,236802903
facts,236570514
car,236362249
latter,236289944
throughout,235986348
benefits,235965892
engineering,235920851
consider,235619018
electric,235587752
heat,235559403
poor,235312007
site,234999562
re,234852497
student,234727216
principal,234715032
survey,234593463
assistance,234580048
difference,234474756
dollars,234337014
lord,234321387
capacity,233960515
discussion,233920421
request,233689487
farm,233670328
wide,233439731
primary,233374121
prices,233373507
sufficient,233068356
brown,232923789
fall,232914342
otherwise,232874086
railroad,232730603
portion,232613214
referred,232359466
writing,232195813
directly,232142482
appears,232020461
turned,231842850
hour,231294963
includes,230975507
followed,230781529
bring,230431560
actual,230367618
regulations,230231881
amendment,230102138
executive,229711072
exchange,229684918
music,229638423
born,229396356
understand,229361908
soil,228770382
aid,228653660
demand,228627299
big,228506808
units,228424610
acid,227659386
goods,227645567
earth,227462244
iron,227081090
entitled,226640940
existing,226598406
institute,226366806
relationship,226360673
nation,225963693
coal,225517549
color,225486981
ask,225166292
sound,224761216
failure,224591337
plans,224586090
la,224570020
continue,224472733
risk,224395812
moment,223832877
net,223810226
hearing,223538587
hope,222991107
receive,222718063
prepared,222547551
southern,222409995
behavior,221666036
larger,221012352
ways,220025092
connection,219214174
play,218956613
individuals,217950286
computer,217878289
smith,217810630
contact,217593381
indeed,217576468
transfer,217264407
lake,217206219
importance,216850778
forces,216809687
door,216605277
cell,216585546
opportunity,216350938
rest,216061458
morning,215798382
active,215605456
produce,215403794
commerce,214880097
joint,214645822
island,214537484
benefit,214502463
behind,214228880
investment,213982403
eight,213942048
seemed,213677400
agencies,213335829
seven,212683243
ago,212650192
seem,212550341
simply,212404913
approved,211920733
news,211689072
text,211013773
observed,210963711
amended,210581306
immediately,210044095
machine,209795157
procedure,209775323
teachers,209656056
actually,209352578
chemical,209304286
peace,209272574
green,209135696
resolution,208740443
relative,208729199
previous,208665108
wanted,208258021
minutes,207840638
status,207570766
kept,207375518
educational,207270009
separate,207196680
sections,207023651
allowed,206863295
learning,206856413
friends,206724258
stage,206074541
interests,205865977
environmental,205649683
numbers,205447540
apply,205418746
maximum,205271022
expenses,205255718
employed,205199485
upper,204815518
mass,204744508
sources,204595206
defined,204579925
fiscal,204482192
employee,204463972
thereof,203975385
share,203940645
independent,203833380
thousand,203653373
authorized,203317710
looking,203306426
balance,203122930
effort,202791989
german,202773166
distance,202720863
file,202667464
built,202224643
coming,202086100
tests,201827126
gives,201824992
progress,201824522
presence,201705823
deep,200906329
content,200694701
designed,200665534
elements,200515185
reduced,200368986
step,200347239
earlier,200241734
park,200002195
spring,199863708
bonds,199752842
clearly,199598688
agricultural,199496652
appeal,199450481
approximately,199381064
professional,199246532
ability,199172136
texas,198954109
move,198944859
object,198816509
wall,198813908
literature,198671236
fair,198260394
strength,197720925
efforts,197499850
understanding,197463883
measure,197406714
examination,197357176
daily,197260663
personnel,197191745
boston,196775203
lot,196766148
spirit,196722230
covered,196628097
none,196320518
factor,196204715
follow,196173098
index,196159845
regard,196052093
assistant,195934264
met,195931727
collection,195907652
error,195698713
relation,195639007
write,195574955
scale,195572425
affairs,195304150
voice,195229525
maintenance,195213482
circumstances,195152521
giving,194728038
budget,194515252
located,193903670
housing,193815262
forth,193703227
agent,193607361
bar,193518643
description,193163971
henry,192826577
grant,192610289
acts,192245787
key,192074780
motor,191883492
cover,191809158
institutions,191805785
selected,191670730
lands,191542721
paul,191499720
sample,191384118
summer,191297881
success,191258064
access,191107439
places,190880503
figures,190772779
died,190586435
deal,190579347
organizations,190396346
sold,190372944
taxes,190325863
noted,190305711
reasonable,190179916
adopted,190010865
properties,189927208
official,189926230
reached,189473177
culture,189174558
serve,189132199
fully,188826147
entered,188164524
parents,188137114
religious,188115824
add,187968636
internal,187866469
compared,187816740
phase,187548047
offered,187513467
minimum,186999125
served,186872333
functions,186837756
caused,186779046
pass,186643625
provision,186377862
environment,186346110
attorney,186231099
election,186171730
professor,185917261
comes,185790302
discussed,185773214
compensation,185743815
heavy,185596101
meaning,185559027
formed,185540726
weeks,185441266
courts,185252195
procedures,184655522
proceedings,184331130
estimated,184173326
gold,184092589
regular,183955229
moved,183816582
cities,183473348
becomes,183398215
truth,183373672
mentioned,183034314
metal,182747032
concerning,182505051
drug,182402438
fish,182398080
nations,182103648
purchase,181946629
wood,181920732
impact,181792201
everything,181751657
providing,181486318
develop,181461023
indicated,180868174
applications,180625473
paragraph,180363268
principles,180327059
assembly,179970513
stand,179785624
allow,179270559
concerned,179047187
majority,178976429
start,178679035
historical,178597985
reasons,178503415
master,178136877
led,178076402
fixed,177835581
letters,177826587
scientific,177780120
legislation,177752947
occur,177637376
circuit,177403152
items,177046043
projects,176936198
prevent,176826170
statute,176784762
certainly,176690779
conduct,176648907
relief,176633036
police,176517255
banks,176461061
requires,176456270
teacher,176273394
forward,176213723
forest,176129852
differences,176039829
offer,176038211
measures,175829860
increasing,175747697
cold,175435270
sum,175389546
else,175379781
foundation,175373834
ready,174984811
created,174901618
contains,174763408
floor,174714093
initial,174594380
friend,174552556
serious,174327939
considerable,174319923
copy,174257942
recently,174100098
positive,174083042
remain,173951062
vice,173777064
constitution,173682513
papers,173221511
supreme,173155526
location,173104087
characteristics,173088689
complex,173034594
firm,172985551
neither,172886891
speed,172710531
domestic,172666824
carry,172223033
agriculture,172051829
started,171746653
reduction,171500512
administrative,171353828
returned,171321339
showing,171052370
permit,171004189
appeared,170861513
try,170844012
orders,170789340
powers,170777748
decided,170590932
practical,170262915
critical,170201469
takes,169825668
ordered,169819685
events,169662080
showed,168700385
obtain,168597468
revenue,168494354
hall,168387443
representative,168046488
economy,167765250
holding,167602395
lack,167539039
determination,167506705
communication,167476508
constant,167450301
improvement,167228794
animals,167218111
faith,167194854
thirty,167022048
china,166900747
actions,166822142
duties,166665977
manager,166617288
summary,166579835
miss,166555552
fuel,166442840
names,166355105
hear,166285946
features,166121652
testimony,166080528
completed,165951565
owner,165907468
laboratory,165874762
variety,165827787
worked,165795718
dark,165781289
essential,165638131
fourth,165608519
blue,165328444
governor,165247677
appointed,165209561
easily,165156048
getting,164916109
representatives,164852516
containing,164842002
exercise,164714162
investigation,164682852
square,164578381
bad,164505788
families,164481891
talk,164401854
highly,164396947
responsibility,164352052
foot,163915942
glass,163896604
mental,163353285
jurisdiction,163300641
attempt,163244372
articles,163150293
teaching,163133315
event,162887369
successful,162805728
growing,162561752
establish,162455742
formation,162408862
evaluation,162393561
treated,162297357
agreed,162197765
cash,162176627
matters,162131922
dead,162007429
removed,161989672
picture,161761511
mary,161745596
whatever,161670159
northern,161618844
frequently,161613638
processes,161328065
easy,161112721
telephone,161010498
counsel,160876766
rock,160691723
entirely,160528232
publication,160513194
intended,160492176
hill,160316574
nuclear,160085176
doubt,160052035
raised,160016040
correct,159906878
maintain,159497887
valley,159496261
arms,159445145
grade,159359798
loan,159139620
useful,159137700
mark,158825309
coast,158784443
eye,158731700
tried,158398468
frequency,158364926
assessment,158194595
changed,158097766
bed,157962116
dry,157857847
responsible,157640842
contained,157436819
merely,157243249
branch,156935056
inches,156891550
introduced,156632914
rise,156529460
principle,156452266
accepted,156399353
regional,156345386
gone,156207054
policies,156190693
granted,156125395
choice,155540338
cents,155531163
trees,155455554
send,155447780
oh,155304117
uses,155275451
existence,155129754
interested,154975161
mail,154815199
check,154784605
vote,154754045
leading,154752828
performed,154549867
indicate,154454808
somewhat,154380298
suggested,154126573
buildings,154060895
output,153697906
pacific,153410573
relatively,153277406
subjects,153272268
closed,153267806
winter,153118933
lives,153108461
classes,153012579
sun,152987067
milk,152861369
task,152783173
introduction,152749931
pounds,152723809
expression,152695527
create,152666059
inside,152625225
instance,152514513
debt,152405502
testing,152295601
soviet,152112100
trying,152096255
enter,151951687
submitted,151842508
eastern,151764031
jury,151741541
stop,151724062
wrote,151716761
citizens,151572529
increases,151442940
husband,151408644
previously,151235665
myself,151221676
named,150851362
employer,150845978
assets,150783900
remember,150583813
convention,150362642
animal,150306237
accounts,150180479
louis,150168926
amounts,149971279
commissioner,149855910
ideas,149811222
payments,149714066
speak,149679436
decisions,149613869
relating,149423362
directed,149376274
freedom,149358523
wish,149293669
standing,149127517
fields,148741052
boy,148722339
session,148605160
storage,148411392
regarding,148384493
round,148268820
reduce,147655604
desire,147633634
manufacturing,147387485
interesting,147256556
criminal,147240192
causes,147123587
recognized,147083808
grand,146887848
represented,146828963
traffic,146687153
petition,146572857
advanced,146508013
mine,146501934
joseph,146409503
reserve,146388266
stone,146306919
contracts,146162705
injury,146139235
married,146126786
statistics,146084667
pages,145764421
expressed,145446210
double,145428923
cultural,145338553
industries,145136001
worth,145104964
waste,145104764
japan,145057008
specified,144909679
regulation,144839345
combination,144668909
engaged,144629187
ratio,144584036
conducted,144574435
film,144546722
reaction,144224521
occurred,144030097
thinking,143854745
instruction,143785923
hot,143781174
feeling,143555006
image,143469019
johnson,143459125
begin,143422343
bond,143377095
institution,143352256
plate,143241676
pain,143206597
affected,143061876
learn,142973320
printed,142953619
finding,142633362
race,142528415
pursuant,142483687
accordance,142471092
remains,142450371
completely,142395278
command,142324757
radio,142188034
percentage,142100920
tree,142069815
running,142061445
ship,142056158
moving,141977493
brother,141713892
reach,141681364
techniques,141380850
supplies,141371791
negative,141315637
connected,141304493
ordinary,141226206
greatest,140647340
applicable,140630273
network,140601385
smaller,140546785
medicine,140399858
liability,140318442
guide,140307648
secondary,140258195
charges,140217232
agents,140164059
processing,140135364
nine,139864771
properly,139709761
bottom,139503585
organized,139390697
popular,139339291
game,139208382
absence,139179497
favor,139090572
permanent,138957605
statements,138904122
models,138863225
limit,138679631
experimental,138669432
tons,138370649
comparison,138179729
fear,138067849
girl,138061133
highest,137863756
practices,137512841
season,137238330
advantage,137207876
editor,137037525
speech,137005180
leaves,136962144
damage,136945962
extended,136824641
style,136801754
opening,136704626
alternative,136661044
resistance,136648307
gain,136581235
opened,136549623
clinical,136481526
estimate,136168884
owned,136167149
clerk,136088114
urban,136026019
pattern,135852014
learned,135562276
subsequent,135493651
concern,135435250
avoid,135395371
numerous,135381459
conclusion,134789432
broad,134788185
element,134767474
mm,134532223
marked,134528003
please,134361956
failed,134232196
represent,134214657
adequate,134112291
vehicle,133947390
proof,133915943
memory,133753438
stood,133741160
moral,133639399
setting,133526828
paris,133525518
excess,133446893
religion,133155432
steps,133067433
highway,132973695
developing,132909046
avenue,132783173
substantial,132777742
spent,132733168
goes,132664064
quickly,132651609
securities,132634616
passage,132537502
search,132532087
lay,132476080
drive,132469876
extension,132371227
club,132348329
saying,132174757
resulting,132100366
ones,131637932
evening,131560448
yield,131092867
measured,130947985
stress,130929495
discharge,130899290
remained,130849062
item,130838839
inch,130816202
drawn,130724427
los,130652622
express,130308580
travel,130307142
selection,130255693
sort,130077270
filled,130034452
brief,129635271
piece,129559419
territory,129504446
preparation,129396201
advance,129267504
welfare,129229219
concept,129156138
rural,129130347
contain,128962367
slightly,128868809
structures,128743130
gross,128719380
someone,128486481
limits,128328623
definition,128270760
bridge,128235070
quantity,128216690
thank,128213555
wind,128141623
occurs,128122274
expense,128073937
female,128072111
die,128008414
skin,127848978
signal,127764179
silver,127723023
charged,127688770
immediate,127684040
port,127638978
appearance,127565928
solid,127557885
possession,127509239
attack,127399202
wrong,127367308
usual,127350028
impossible,127280886
approval,127242658
officials,127207709
components,127205547
concentration,127202082
exist,127191301
cotton,126983256
engine,126761046
boys,126678866
experiments,126678567
agree,126444336
salt,126439282
references,126403540
native,126364556
medium,126314520
lived,126270799
recommended,126156210
older,125887722
controlled,125700147
combined,125669761
supported,125474568
communications,125378075
rose,125368713
details,125298831
hence,125261475
largest,125249838
media,125203238
load,125131709
argument,125094171
monthly,125087486
plus,125082284
houses,125076703
team,124983246
electrical,124929745
herself,124916528
mouth,124819192
male,124723534
suit,124671090
beautiful,124660866
whereas,124517255
acres,124494507
store,124282186
documents,124200253
entry,123974947
laid,123882256
legislative,123875942
positions,123753558
collected,123748568
channel,123652462
leaders,123600888
examples,123502587
release,123424072
largely,123324719
fifty,123306282
findings,123266374
cars,123174996
emergency,123108063
visit,123076861
delivery,122989432
believed,122828859
arts,122815366
rich,122804282
stay,122789451
marriage,122782789
sex,122690311
village,122535337
hair,122534409
multiple,122486322
daughter,122418696
accept,122312711
despite,122300308
establishment,122267499
depth,122255168
views,122113989
signed,122058031
competition,122022430
railway,121926655
identified,121769374
carrier,121598822
navy,121532357
experiment,121434970
bound,121406948
aircraft,121392117
derived,121321787
origin,121273803
sell,121197430
elected,121173813
superior,121065443
aspects,120849856
improved,120766415
crime,120558164
loans,120460811
fees,120441940
apparently,119911591
van,119906181
vessels,119820570
device,119756019
conflict,119689000
frank,119671469
phone,119549699
mission,119499853
bay,119424960
block,119413349
primarily,119388338
ought,119229396
bear,119222277
affect,119169250
estimates,119144632
offices,119096059
remaining,119075565
samples,119024181
towards,118869952
safe,118735457
marine,118722452
leaving,118718527
efficiency,118663301
sign,118635184
witness,118472934
profit,118406471
admitted,118250268
quarter,118008329
improve,117939246
detailed,117885639
studied,117712630
st,117670637
mechanical,117654465
ice,117638864
respondent,117603151
maintained,117583021
finance,117545652
youth,117531221
mountain,117490558
mining,117437908
excellent,117299875
engineers,117280617
interior,117265841
cancer,117197330
ill,117113969
liquid,116777420
consent,116678860
denied,116626625
shape,116517037
equation,116482389
assumed,116459848
protect,116369313
fast,116280524
assigned,116277746
train,116098918
carrying,116067485
composition,115971068
edge,115930105
treasury,115928442
determining,115840224
divided,115784194
consumer,115779708
prove,115566876
engineer,115537017
recovery,115518724
receiving,115490256
consists,115476500
focus,115399732
facility,115181769
sides,115178195
instrument,115118234
ad,115064507
build,115006578
chance,114900349
steam,114806396
sugar,114774943
concrete,114717252
message,114652362
inspection,114395497
tables,114346132
creek,114292211
legislature,114170158
respectively,113934258
edition,113896879
suggest,113722523
objects,113661042
billion,113657504
brain,113527490
severe,113453492
membership,113432838
minister,113409081
horse,113403033
counties,113341139
sites,113340835
fresh,113337287
proportion,113335867
kinds,113318194
settlement,113297417
perfect,113293607
document,113218871
captain,113109368
understood,113081856
authorities,112969596
arm,112954267
weather,112813165
detail,112734912
carefully,112695251
traditional,112618921
secure,112580032
girls,112507458
sought,112495423
republic,112467630
advertising,112379395
acting,112378876
equivalent,112349176
certificate,112255656
perform,112229117
save,112194738
corporate,112139205
directors,112129151
window,112125424
battle,112088144
buy,112067128
rapid,111983128
recorded,111857192
map,111847123
politics,111768242
desired,111725117
proved,111582699
peter,111568216
bit,111564210
fifth,111459583
sand,111368164
meetings,111167986
schedule,111141038
generation,111115757
fee,111088971
soul,111031786
dependent,110961742
license,110931644
rapidly,110926495
sat,110899359
bearing,110837892
minor,110704130
delivered,110620791
forty,110217253
explain,110129301
grain,109999527
fell,109862614
revised,109814121
typical,109731729
greatly,109675906
lady,109619053
carbon,109618760
ancient,109568626
doctor,109501270
corresponding,109455762
bills,109444780
happy,109331123
possibility,109194179
machinery,109138855
marketing,109098207
fort,109030312
classification,108985759
printing,108956404
attached,108954094
farmers,108864901
zone,108805221
permitted,108661081
stations,108342524
expect,108314202
electronic,108180253
fruit,108143664
overall,108126182
periods,108036016
valuable,107913106
complaint,107888340
savings,107882157
closely,107861437
minute,107854481
happened,107701126
mortgage,107673922
wave,107608693
consumption,107588856
apparent,107472063
necessity,107437580
assume,107380819
vessel,107373289
appeals,107366247
walls,107281159
gray,107279849
diseases,107261973
speaking,107261444
career,107142572
relationships,107123258
requirement,107093396
external,107093346
uniform,107036658
cooperation,106928306
patent,106919689
anyone,106890645
publications,106826663
card,106825004
opportunities,106727463
listed,106682444
adult,106658031
communities,106634627
difficulty,106559526
enforcement,106464441
waters,106442216
patterns,106411602
damages,106198467
accounting,106139604
philosophy,106137302
represents,106098676
yellow,106080064
markets,106066015
extensive,106019158
wages,106004177
tube,105944970
interpretation,105898635
copies,105875156
sciences,105842629
operate,105819576
layer,105787063
trouble,105738389
pure,105727118
exactly,105633499
indicates,105433878
museum,105424144
shares,105357835
opposite,105092523
acquired,105091845
bodies,105045000
everyone,105040641
copper,105014669
radiation,104980493
jones,104877345
spread,104831192
band,104808365
moreover,104787373
camp,104773394
earnings,104700700
jersey,104603142
birth,104580440
specifically,104568342
continuous,104540609
municipal,104536836
enemy,104518158
strike,104493447
instructions,104489792
award,104413168
straight,104339363
pipe,104298605
suitable,104281453
sheet,104266581
conservation,104147449
therapy,104055825
expenditures,104036923
